title,description,place,url
Open Data Gortynia,"This is the official Open Data Catalogue of Municipality of Gortynia in Greece, launched during April 2014. At this stage (beta), is mainly based on Gortynia Municipality’s open geospatial datasets, as well as open data from third public sector’s parties. The catalogue has been smoothly integrated with Gortynia’s INSPIRE Spatial Data Infrastructure (SDI), in the sense they are dynamically connected. It provides simple (preview) and advanced (Geoportal) view of datasets, downloading in various formats (shapefile, kml, geotiff). The catalogue is built using FOSS, such as CKAN, GET SDI Portal, GeoServer, Geonetwork."," Gortynia, Greece",http://opendatagortynia.gr/
Open Data Hub Italia,"Open Data Hub Italia, run as a public service by data consultancy SciamLab, harvests records from many different regional data portals throughout Italy.", Italy,http://www.opendatahub.it/
Open Data in Uganda,"A community led site aggregating public open data in Uganda, map layers and news. Built with CKAN, Drupal and Geonode.", Uganda,http://data.ug/
Open Data Lazio,The Open Data of the Lazio Region in Italy," Lazio, Italy",http://dati.lazio.it/
Open DATA METI,"(As former developer) 
This site is organized by Ministry of Economy, Trade and Industry in Japan as an experimental site to examine the open data policy of Japanese government. ", Japan,http://datameti.go.jp/
Open Data Nepal,"A civil society initiative to make Nepal’s data accessible online perpetually. The portal allows users to publish, explore, download and use data to make their own visualisations, apps and services without any restriction."," Kathmandu, Nepal",http://www.opendatanepal.com/
Open Data Oorlogsbronnen,"The Open Data Registry of Oorlogsbronnen (Dutch Network for War Collections, World War 2) contains approximately 60 datasets of Archives, Museums, Libraries in the Netherlands. These datasets hold metadata about objects, archives, books etc. related to World War II in the Netherlands.
", The Netherlands,https://opendata.oorlogsbronnen.nl/
Open Data Portal Aachen,Open Data Portal for the city of Aachen in Germany. CKAN customisations performed by OKF Germany.," Aachen, Germany",http://opendata.aachen.de/
Open Data Portal Hamburg,The city of Hamburg in Germany launched a beta version of their data portal in February 2013. The portal uses CKAN on the back-end. The API is available at opendata.hamburg.de.," Hamburg, Germany",http://daten.hamburg.de/
Open Data Portal of Estonia,"The Open Data Portal provides a single point of access for general public to unrestricted public sector data with the permission to re-use and redistribute such data for both commercial and non-commercial purposes.
", Estonia,https://opendata.riik.ee/en
Open data portal of the Republic of Croatia,"Open data portal of the Republic of Croatia represents a data node that is used for the collection, categorization, and the distribution of open data to the public sector", Croatia,http://data.gov.hr/
Open Data Trentino,"Open data portal for the province of Trentino, Italy."," Trentino, Italy",http://dati.trentino.it/
Open Data Zurich,," Zürich, Switzerland",https://data.stadt-zuerich.ch/
Open Virginia,"Open Virginia is a volunteer-run catalogue of open government data published about the Commonwealth of Virginia — APIs, bulk downloads, and links to third-party data sources."," Virginia, USA",http://data.openva.com/
OpenBelgium,Community site that gathers open data sources across Belgium and advocates the use of open data through examples., Belgium,http://portal.openbelgium.be/
OpenColorado,," Colorado, USA",http://opencolorado.org/
Opendata Cáceres,"Opendata Cáceres was launched in 2014 by the city government of Cáceres. This portal aims to share the official data of the city to their citizens, and especially to developers. That is why all the datasets are ranked as 5 stars by Tim Berners-Lee's ranking."," Cáceres, Spain",http://opendata.caceres.es/
Opendata Lisra,"(Third party submission)
This site is an open data portal site provided by non-profit organization Lisra. 
", Japan,http://opendata.lisra.jp/
OpenData Praha,OpenData portal for the capital city of Czech Republic., Prague,http://opendata.praha.eu/
OpenData UEx,"OpenData UEx was launched in 2015 by University of Extremadura to share the data and documents of interest to the university community and citizens, and promote transparency in the institution. The portal is characterized by offering the datasets with the highest level of reuse, recommended by the W3C."," Cáceres, Spain",http://opendata.unex.es/
OpenData UGR,Open data portal of the University of Granada that is used as base for the transparency portal of the same institution (http://transparente.ugr.es/) and other projects related to the publication of open data. Maintained by the Free Software Office of the University of Granada.," Granada, Spain",http://opendata.ugr.es/
opendata.awt.be,"Open data portal for the region of Wallonia, Belgium, developed by the Walloon Telecommunications Agency (AWT)."," Wallonia, Belgium",http://opendata.awt.be/
Opendata.dk,Data from the danish regions and municipalities., Denmark,http://portal.opendata.dk/
opendata.gov.je,"The home of open data published by the government of the Island of Jersey, launched in October 2015", Jersey,https://opendata.gov.je/
OpenData.HRO,"The Hansestadt Rostock (Hanseatic City of Rostock) launched its data portal, www.opendata-hro.de, in February 2013. It contains data from the city in a wide range of areas, such as transport, environment, infrastructure and administrative data, with the aim that it should find commercial and other uses."," Rostock, Germany",http://www.opendata-hro.de/
opendata.hu,"A community-run open data portal for Hungary, including data from government, scientific and cultural institutions, business and citizens.", Hungary,http://opendata.hu/
OpenData@WU,Open Data portal of the Vienna University of Economics and Business (WU Wien), Austria,http://data.wu.ac.at/
OpenDataBC,," British Columbia, Canada",https://www.opendatabc.ca/
OpenDataDC,"OpenDataDC is a public data catalog for and by the people of Washington, DC. It complements the catalog maintained by the city government at data.dc.gov which houses official municipal data. OpenData DC is a project of Code for DC."," Washington DC, USA",http://opendatadc.org/
OpenDataNetwork,"Il progetto Open Data Network è stato avviato da un gruppo di Pubbliche Amministrazioni toscane – Provincia di Firenze, Provincia di Prato, Provincia di Pistoia e Autorità di Bacino del Fiume Arno – che hanno deciso di collaborare alla costruzione di un sistema federato per la pubblicazione in forma ""aperta"" dei propri dati, sia alfanumerici che geografici. Sin dall'inizio il progetto si è proposto di realizzare una soluzione federata per gli open data, con l'obiettivo da un lato di facilitare l'accesso da parte dell'utenza e dall'altro di creare sinergie nello sviluppo della soluzione e nella sua gestione. L'idea è stata quindi condivisa con la Regione Toscana, che ne ha cofinanziato lo sviluppo.", Italia (ITA),http://www.opendatanetwork.it/
OpenDataPortal Austria,Open Data Portal for Austrian non-governmental data., Austria,https://opendataportal.at/
OpenDataReno,OpenDataReno is a place to exchange data and information useful to the residents of the greater Reno/Sparks/Washoe County area.," Reno, NV, USA",http://opendatareno.org/
OpenExpo,"Open Expo is an initiative of Expo 2015 aims to ensure total transparency at the Universal Exposition of 2015 by publishing in open format of all the information regarding the management, planning, organization and conduct of the event. 

In this logic OpenExpo2015.it intends to enhance the information already released by Expo 2015 SpA in the Admin section transparent by making available data on the economic management of the event, to works and any variations in the performance of the event

OpenExpo2015.it are also available on the portal continuously updated dynamic infographics that allow anyone to have a clear idea, at a glance the progress of the work and, more generally, the course of the entire event.", Milan,http://dati.openexpo2015.it/
OpenGovData.ru,A community-run data portal for Russia., Russia,http://hubofdata.ru/
OpenUmea,"Open data portal for the municipality of Umea, in the north of Sweden."," Umea, Sweden",http://www.openumea.se/
Opin Gögn,The Icelandic government releases open government data on an experimental CKAN platform. All public agencies and ministries in Iceland can get access and publish data and it is made available at both opingogn.is and gogn.island.is., Iceland,http://opingogn.is/
Ozwillo,, France,https://opendata.ozwillo.com/
parchemins,"Présentation du projet
La Bretagne, terrain d’étude privilégié
La Bretagne est une région dans laquelle l’agriculture littorale est confrontée à des pressions et à des remises en cause multiples : les crises répétées qui touchent des filières animales et légumières, les inquiétudes et critiques associées aux pollutions diffuses d’origine agricole, les tensions sur l’installation et la pression foncière, y font de l’agriculture littorale une question socialement vive.

Malgré la forte implication des institutions pour co-construire des perspectives d’évolution avec les différentes parties prenantes, les contraintes qui entourent la prise de parole des agriculteurs dans le débat public sont très fortes. Le projet vise de ce fait à concevoir, expérimenter et consolider des espaces de délibération et de problématisation sur la place de l’activité agricole dans les territoires littoraux, qui soient ouverts et en même temps préservés des contraintes qui accompagnent l’opérationnalisation des politiques publiques locales. Les connaissances et dynamiques qui en découlent sont ainsi susceptibles de compléter utilement les dispositifs institutionnels de concertation et de nourrir, dans le long terme, la réflexion, les stratégies et les projets des acteurs locaux.

Le projet PARCHEMINS prend appui sur l’expérience de trois projets de recherche portant sur l’agriculture littorale et les pollutions diffuses d’origine agricole, réalisés entre 2009 et 2014. Ceux-ci ont montré qu’il existe un écart important entre la conscience très partagée de la dimension éminemment sociale et politique des problèmes rencontrés par l’agriculture littorale et le caractère lacunaire des données de recherche produites et rendues disponibles à ce sujet.

 

Trois objectifs opérationnels
Sur 5 territoires littoraux présentant des caractéristiques distinctes, identifier les dynamiques spécifiques à l’agriculture littorale et rendre compte de leur diversité, en explorant les bases de données disponibles et en les analysant à la lumière de données qualitatives issues d’enquêtes ethnographiques ;
Rendre disponible et vivante auprès d’une large audience la parole et l’expérience des agriculteurs travaillant en zone littorale, dans leur diversité ;
Créer des espaces de rencontre et de dialogue informels entre agriculteurs et autres groupes sociaux et professionnels impliqués dans la compréhension, la problématisation, la critique, la gouvernance de l’agriculture sur le littoral.
Pour répondre à ces objectifs, le projet se structure en 6 axes de recherche, animés par les membres de l’équipe scientifique.

 

Un projet de recherche collaboratif
PARCHEMINS est fondé sur l’implication de chercheurs relevant de différentes disciplines et sur un partenariat fort avec les acteurs institutionnels locaux et la société civile. Le projet reconnaît aux savoirs d’expérience un vrai statut dans la conduite de la recherche. Cela implique, pour l’équipe porteuse, une ouverture à la diversité des formes de problématisation opérées par les acteurs sociaux et une capacité à les restituer et à les articuler avec ses propres questions de recherche. Cette posture est à l’origine du choix des trois principaux outils d’opérationnalisation de la recherche retenus par les partenaires:

la production documentaire, qui s’appuie principalement sur le partenariat avec un réseau de radios associatives locales;
la mise en place d’un site Internet laissant une large place à l’expression libre et au commentaire sur les données produites;
la co-construction avec les enseignants d’écoles d’agronomie d’outils pédagogiques."," Brittany, France",http://ckan.parchemins.bzh/
Piattaforma Open Data Alto Adige - Sud Tyrol,"Il catalogo Open Data dell'Alto Adige mette a disposizione i dati provinciali, favorendone il riutilizzo sia in senso tecnologico che giuridico. Contiene dataset forniti da tutti gli attori istituzionali del sistema Alto Adige, Provincia autonoma di Bolzano, gli Enti locali, le società di sistema e, più in generale, da tutti gli attori interessati a partecipare a questo processo.", Italia (ITA),http://dati.retecivica.bz.it/it
"Plateforme des données ouvertes du Ministère de l'Industrie, de l'Energie et des Mines","Open Data platform of the Tunisian ministry du Ministère de l'Industrie, de l'Energie et des Mines", Tunisia,http://data.industrie.gov.tn/
Portal de Dados Abertos da Cidade de São Paulo,"O Portal de Dados Abertos da Prefeitura de São Paulo tem sua origem no Catálogo Municipal de Bases de Dados (CMBD). Previsto pelo Decreto Municipal nº 54.779/2014, o CMBD tem por finalidade divulgar uma listagem de todas as bases de dados produzidas pelos órgãos e entidades da administração municipal.", Brazil,http://dados.prefeitura.sp.gov.br/
Portal de Dados Abertos sobre Agrotóxicos,"Open Data Portal about Pesticides in Brazil. Contains data about pesticides consumption, pesticides residues in food, prices, genetically modified crops and more.", Brazil,http://dados.contraosagrotoxicos.org/
Portal de Datos Abiertos,"En este sitio podrá encontrar conjuntos de información pública del gobierno de manera fácil. Para ello, en algunos casos, la información está publicada en más de un formato.

Este sitio contiene un buscador y catálogos con diversas categorías para ayudar la búsqueda de la información. También se puede encontrar información georeferenciada y archivos de imágenes. Algunos de estos datos ya están disponibles en diversos sitios de gobierno pero www.datos.gob.cl los reúne en un solo sitio web donde se pueden realizar búsquedas.

El portal www.datos.gob.cl es un sitio dinámico en constante crecimiento, por lo que seguirá expandiéndose e incorporando la información de otros servicios y más datos de los organismos públicos.

El objetivo de esta herramienta es que las personas tengan acceso a la información en base a la cual el gobierno toma decisiones para las políticas públicas y que también la puedan utilizar para sus propias investigaciones e intereses. Por ejemplo, construir aplicaciones y conducir análisis.

Creemos que el acceso a la información y la transparencia beneficia a la democracia y la rendición de cuentas por parte de las autoridades.", Chile,http://datos.gob.cl/
Portal de Datos Abiertos - El Salvador,"El Portal de Datos Abiertos de El Salvador es la herramienta que la Secretaría de Participación, Transparencia y Anticorrupción pone a disposición, como un resultado concreto de la Política Nacional de Datos Abiertos (PNDA), la cual es coordinada por la Secretaría Técnica y de Planificación de la Presidencia.", El Salvador,http://datos.gob.sv/
Portal de datos abiertos de Rivas Vaciamadid,Portal de Datos Abiertos del Ayuntamiento de Rivas Vaciamadrid," Rivas Vaciamadrid, Spain",http://datosabiertos.rivasciudad.es/
Portal de Datos Abiertos del Gobierno de Misiones,"La Iniciativa de Datos Abiertos Vinculados del Gobierno de Misiones busca aumentar el acceso y uso público a conjuntos de datos de valor, que sean legibles por máquinas, y hayan sido generados por el Poder Ejecutivo del Gobierno de Misiones. "," Posadas, Argentina",http://www.datos.misiones.gov.ar/
Portal de Datos Públicos,"Portal de Datos Públicos in Argentina is an open government and transparency initiative. It went live in August 2013, under the National System of Public Data (SINDAP) created by a resolution of ministers.", Argentina,http://datospublicos.gob.ar/
Portale OpenData del Comune di Bari,"The City of Bari, capital of the Puglia region, followed a number of other Italian administrations by releasing an Open Data catalogue in January 2013, with additional data being added gradually."," Bari, Italy",http://opendata.comune.bari.it/
publicdata.eu,"publicdata.eu, built by the Open Knowledge foundation as part of the LOD2 project, federates metadata from local and national data catalogues from across Europe.", Europe,http://publicdata.eu/
Queensland Government data,"The state of Queensland launched the first governmental CKAN portal in Australia, Queensland Government data, in December 2012, with the help of the Open Knowledge Foundation and XVT Solutions, a local IT firm."," Queensland, Australia",http://data.qld.gov.au/
Ressourcerie Datalocale,"A federated open data portal run by the Department of Gironde (west-south of France, capitale Bordeaux). Hosts datasets published by local public authorities, associations and citizens.", France,http://catalogue.datalocale.fr/
Rheinland Pfalz Open Data Plattform,The open data portal for the state of Rheinland-Pfalz (Rhineland Palatinate) went live in March 2013. It is a single point of access for administrative data from across the state.," Rheinland-Pfalz, Germany",http://www.daten.rlp.de/
Rotterdam Open Data Store,Rotterdam Open Data Store provides data held by the city of Rotterdam. It was launched in 2012 as a collaboration between the city of Rotterdam and the Rotterdam University of applied sciences.," Rotterdam, Netherlands",http://rotterdamopendata.nl/
Route To PA - TET - Dublin,"ROUTETOPA is an acronym that stands for Raising Open and User-friendly, Transparency Enabling Technologies for Public Administrations. 
It is a three-year, multidisciplinary,  European Union Horizon 2020 innovation project aimed at improving citizen engagement by enabling meaningful interaction between open data users, open data publishers and open data. The city of Dublin is a pilot in this project. 
Transparency Enabling Toolset (TET) built on CKAN is a citizen-friendly data repository for publishing, sharing and finding open data."," dublin, Ireland",http://dublin-tet.routetopa.eu/en
Route To PA - TET - Prato,"ROUTETOPA is an acronym that stands for Raising Open and User-friendly, Transparency Enabling Technologies for Public Administrations. 
It is a three-year, multidisciplinary,  European Union Horizon 2020 innovation project aimed at improving citizen engagement by enabling meaningful interaction between open data users, open data publishers and open data. The city of Prato is a pilot in this project. 
Transparency Enabling Toolset (TET) built on CKAN is a citizen-friendly data repository for publishing, sharing and finding open data."," Prato, Italy",http://prato-tet.routetopa.eu/en
Santa Cruz Open Data,"City of Santa Cruz Open Data was the first official deployment of CKAN in the USA when it launched in July 2012. It was developed with help from Code for America, an American NGO dedicated to ‘reimagining government for the 21st century’ by harnessing the power of the Web."," Santa Cruz, California, USA",http://data.cityofsantacruz.com/
Sherbrooke Open Data,," Sherbrooke, Canada",http://donnees.ville.sherbrooke.qc.ca/
South Australian Government Data Directory,"The South Australia Government Data Directory, built by the OKF together with the Government of the state of South Australia, was launched in May 2013. It makes available data from over 25 government bodies and departments."," South Australia, Australia",http://data.sa.gov.au/
Swiss Open Government Data,The “Open Government Data at the Confederation” project is a joint undertaking by the Swiss Federal Archives and their project partners to create a central pilot portal providing access to open data from the Swiss authorities., Switzerland,https://opendata.swiss/
Taijiang Research Data Repository,"Taijiang Research Data Repository is a research data repository for the humanities and areas studies in Taijiang Inland Sea Area, a region in Tainan City in Southern Taiwan.", Taiwan,http://taijiang.tw/
Tainan City Open Data,http://data.tainan.gov.tw is the first running open data platform in Taiwan to have implemented CKAN.," Tainan, Taiwan",http://data.tainan.gov.tw/
The Brazilian Senate,"Besides the Brazilian government portal noted above, the Senate or upper house of the Brazilian parliament releases its data through its own portal. ", Brazil,http://dadosabertos.senado.gov.br/
The Datahub,"The DataHub, administered by the Open Knowledge Foundation, was the first ever CKAN installation. Anyone can add or edit data or records, so the site can be thought of a bit like a 'data wiki'. The DataHub is widely used by a variety of groups, including the Linked Data community who use it to generate the LOD cloud diagram showing the current extent of Linked Data sets.", Worldwide,http://datahub.io/
The International Aid Transparency Initiative,"The International Aid Transparency Initiative has a data portal where it publishes an index of data on international development activities, with data from donor organisations and countries.", Worldwide,http://iatiregistry.org/
The London Datastore,The London Datastore is a site hosted on the DataPress platform (datapress.io) and uses CKAN.  This is a replacement for the old Drupal London Datastore and went live on 23rd Oct 2014., London,http://data.london.gov.uk/
Transparenzportal der Stadt Karlsruhe,"Official open data and transparency portal for the City of Karlsruhe, Germany."," Karlsruhe, Germany",https://transparenz.karlsruhe.de/
Ukraine open data community,Community effort, Ukraine,http://data-gov-ua.org/
Urban Data Challenge on CKAN,"Urban Data Challenge (UDC) will conduct efforts to promote public and distribution of data to each agency to promote the activation of exchange of stakeholders in industry, academia and government, and other local governments."," Tokyo, Japan",http://udct-data.aigid.jp/
VI-SEEM Data Discovery Service,"VI-SEEM Data Discovery Service is designed to help researchers search for and discover datasets during the VI-SEEM project (https://vi-seem.eu/).
"," Sofia, Bulgaria",https://search.vi-seem.eu/group
Western Pennsylvania Regional Data Center,"The Western Pennsylvania Regional Data Center supports key community initiatives by making public information easier to find and use. The Data Center provides a technological and legal infrastructure for data sharing to support a growing ecosystem of data providers and data users. The Data Center maintains Allegheny County and the City of Pittsburgh’s open data portal, and provides a number of services to data publishers and users. The Data Center also hosts datasets from these and other public sector agencies, academic institutions, and non-profit organizations. The Data Center is managed by the University of Pittsburgh’s Center for Social and Urban Research, and is a partnership of the University, Allegheny County and the City of Pittsburgh. "," Western Pennsylvania, USA",http://www.wprdc.org/
Western Pennsylvania Regional Data Center,"The Western Pennsylvania Regional Data Center (WPRDC) supports key community initiatives by making public information easier to find and use. It provides a technological and legal infrastructure for data sharing to support a growing ecosystem of data providers and data users. The WPRDC maintains Allegheny County's and the City of Pittsburgh’s open data portal, and provides a number of services to data publishers and users. It also hosts datasets from these and other public sector agencies, academic institutions, and non-profit organizations. The Western Pennsylvania Regional Data Center is managed by the University of Pittsburgh’s Center for Social and Urban Research, and is a partnership of the University, Allegheny County and the City of Pittsburgh."," Western Pennsylvania, United States of America",https://www.wprdc.org/
Yokohama Open Data Portal,Yokohama Open Data Portal is a community-based data portal site for City of Yokohama in Japan. It collects datasets provided by the local government mainly. ," Yokohama, Japan",http://data.yokohamaopendata.jp/
YUJ.IT,"YUJ.IT, (sounds like: ""budget"") is a collection of ""WEB APPS"" built around an Open Data Web Portal.

A dynamic and comprehensive likeness of the ""Community of Interest"" in yoga, meditation, Mindfulness and Well-being connects our personal interests, practices and our networks.", ,http://yuj.it/
ZBW Journal Data Archive,"The ZBW Journal Data Archive is a service for editors of journals in economics and management. The Journal Data Archive offers the possibility for journal authors of papers that contain empirical work, simulations or experimental work to store the data, programs, and other details of computations, to make these files publicly available and to support confirmability and replicability of their published research papers. ", Germany,http://journaldata.zbw.eu/
Öppna Data,The Swedish national portal for Open Data, Sweden,http://oppnadata.se/
